fuel_efficiency,location,make,price,vechile features,car make,type,model,year,odometer,body,transmission,Number of cylinders,capacity,fuel type
11,VIC,2014 Toyota Corolla Levin ZR Auto,"20,850","Odometer
46,519 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Levin ZR Auto,Corolla,2014,"46,519",Hatch,Automatic,4,1.8,Petrol
11,WA,2006 Toyota Corolla Conquest Auto,"7,989","Odometer
96,500 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Conquest Auto,Corolla,2006,"96,500",Hatch,Automatic,4,1.8,Petrol
11,NSW,2015 Toyota Corolla Ascent Sport Manual,"19,990","Odometer
10,318 km


Body
Hatch


Transmission
Manual


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Sport Manual,Corolla,2015,"10,318",Hatch,Manual,4,1.8,Petrol
11,WA,2014 Toyota Corolla Ascent Auto,"13,990","Odometer
71,408 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"71,408",Sedan,Automatic,4,1.8,Petrol
11,SA,2007 Toyota Corolla Conquest Auto,"11,998","Odometer
29,115 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Conquest Auto,Corolla,2007,"29,115",Sedan,Automatic,4,1.8,Petrol
11,NSW,2007 Toyota Corolla Ascent Auto,"11,990","Odometer
125,209 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2007,"125,209",Sedan,Automatic,4,1.8,Petrol
11,WA,2007 Toyota Corolla Ascent Auto,"8,990","Odometer
126,880 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2007,"126,880",Sedan,Automatic,4,1.8,Petrol
11,NSW,2013 Toyota Corolla Ascent Auto,"15,888","Odometer
59,162 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2013,"59,162",Sedan,Automatic,4,1.8,Petrol
11,VIC,2007 Toyota Corolla Ascent Auto,"12,850","Odometer
25,982 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2007,"25,982",Hatch,Automatic,4,1.8,Petrol
11,VIC,2015 Toyota Corolla SX Auto,"26,888","Odometer
9,476 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla SX Auto,Corolla,2015,"9,476",Hatch,Automatic,4,1.8,Petrol
11,WA,2014 Toyota Corolla Ascent Auto,"13,497","Odometer
70,031 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"70,031",Hatch,Automatic,4,1.8,Petrol
11,QLD,2015 Toyota Corolla Ascent Auto,"20,690","Odometer
6,051 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2015,"6,051",Sedan,Automatic,4,1.8,Petrol
11,VIC,2013 Toyota Corolla Ascent Sport Manual,"16,990","Odometer
78,967 km


Body
Hatch


Transmission
Manual


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Sport Manual,Corolla,2013,"78,967",Hatch,Manual,4,1.8,Petrol
11,SA,2008 Toyota Corolla Ascent Auto,"12,990","Odometer
57,300 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2008,"57,300",Sedan,Automatic,4,1.8,Petrol
11,SA,2014 Toyota Corolla Ascent Sport Auto,"18,990","Odometer
25,410 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Sport Auto,Corolla,2014,"25,410",Hatch,Automatic,4,1.8,Petrol
11,WA,2014 Toyota Corolla Ascent Auto,"14,500","Odometer
62,117 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"62,117",Sedan,Automatic,4,1.8,Petrol
11,WA,2014 Toyota Corolla Ascent Auto,"15,990","Odometer
45,225 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"45,225",Hatch,Automatic,4,1.8,Petrol
11,QLD,2012 Toyota Corolla Ascent Sport Auto,"13,990","Odometer
50,675 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Sport Auto,Corolla,2012,"50,675",Sedan,Automatic,4,1.8,Petrol
11,VIC,2009 Toyota Corolla Ascent Auto,"10,998","Odometer
139,864 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2009,"139,864",Hatch,Automatic,4,1.8,Petrol
11,QLD,2015 Toyota Corolla Ascent Auto,"19,890","Odometer
10,776 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2015,"10,776",Sedan,Automatic,4,1.8,Petrol
11,QLD,2014 Toyota Corolla Ascent Auto,"16,887","Odometer
43,011 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2014,"43,011",Hatch,Automatic,4,1.8,Petrol
11,NSW,2014 Toyota Corolla Levin ZR Manual,"24,990","Odometer
33,733 km


Body
Hatch


Transmission
Manual


Engine
4cyl 1.8L Petrol",Toyota,Corolla Levin ZR Manual,Corolla,2014,"33,733",Hatch,Manual,4,1.8,Petrol
11,VIC,2012 Toyota Corolla Ascent Auto,"13,888","Odometer
118,631 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Auto,Corolla,2012,"118,631",Sedan,Automatic,4,1.8,Petrol
11,WA,2012 Toyota Corolla Ascent Manual,"12,000","Odometer
57,700 km


Body
Sedan


Transmission
Manual


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Manual,Corolla,2012,"57,700",Sedan,Manual,4,1.8,Petrol
11,NSW,2006 Toyota Corolla Ascent Sport Auto,"10,990","Odometer
76,788 km


Body
Sedan


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Sport Auto,Corolla,2006,"76,788",Sedan,Automatic,4,1.8,Petrol
11,SA,2014 Toyota Corolla Ascent Sport Auto,"18,490","Odometer
24,808 km


Body
Hatch


Transmission
Automatic


Engine
4cyl 1.8L Petrol",Toyota,Corolla Ascent Sport Auto,Corolla,2014,"24,808",Hatch,Automatic,4,1.8,Petrol
